onset	duration	nwb_table	stimulus_type	condition_hash	rng_seed	texture_height	texture_width	xnodes	ynodes	up_factor	temp_freq	temp_kernel_length	spatial_freq	blue_green_saturation	pattern_width	pattern_aspect	temp_kernel	temp_bandwidth	ori_coherence	ori_fraction	ori_mix	num_directions	movie_name	short_movie_name
20.431285018277407	9.966468334197998	Clip	stimulus.Clip	gkzSCG6BhPtUN0PM1dik																			2011 August 30 Midweek MTB Solitude XC Mountain Bike Race	sports1m
30.514426822018862	9.966480493545532	Clip	stimulus.Clip	6rMXMbWRbl/o8e/1lfr7																			2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race	sports1m
40.5809079354527	9.966475486755371	Clip	stimulus.Clip	si+70DqPhf9IuG8XhPP1																			2012 USCS Lambert Park XC Mountain Bike Race (Stabilized)	sports1m
50.64737593586469	9.966475486755371	Clip	stimulus.Clip	brE6zlE+i7pQG4ofZFuX																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
60.71385800297284	9.966472387313843	Clip	stimulus.Clip	k7fWOAWoqQ75Koq9mgcJ																			1-Piece Crank Replacement BBT Bearing Repack on Cruiser Bike	sports1m
70.78033601696515	9.966475009918213	Clip	stimulus.Clip	niovkKsVlGIx4jNpsXFg																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
80.84680115635419	14.983053922653198	Trippy	stimulus.Trippy	/TixrV3iWosHIkU4OiWR	7414.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
95.91318690235639	14.983066082000732	Trippy	stimulus.Trippy	Vdi70xOyBQEeDGhPVulx	3.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
110.97957288677716	14.983065128326416	Trippy	stimulus.Trippy	8b4ENJy/CLwAAbGFv0ki	9314.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
126.04596697742963	14.9830641746521	Trippy	stimulus.Trippy	U6NqQRL+v/N/9xnLSH2y	10.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
141.1123529618504	9.966497898101807	Clip	stimulus.Clip	4tIOoaR5VNXdEFB3JLsd																			Naqoyqatsi: Life as War (2002)	Cinematic
151.17883502895856	9.966488361358643	Clip	stimulus.Clip	wrhbg7/9C5fsnGqt95w/																			2012 UNIV WORLDS Erickson (USA) dec Allikma (EST) 120 kg Greco repechage	sports1m
161.24532687122846	9.966475486755371	Clip	stimulus.Clip	gnKtNfR9QYEW0PRkfRU4																			The Matrix Reloaded (2003)	Cinematic
171.31181084568524	9.966488361358643	Clip	stimulus.Clip	LfckM0X1gCCgUlsmXIea																			The Matrix Revolutions (2003)	Cinematic
181.37828885967755	9.966491222381592	Clip	stimulus.Clip	Ta17hPcaONVDy5sPjE9z																			The Matrix Reloaded (2003)	Cinematic
191.44477402622724	9.966483354568481	Clip	stimulus.Clip	mpoHL5UE5tDtz7b51b3H																			americandiner_042-1-5-70-0_54.173.97.201	Rendered
201.51126086170697	9.966477394104004	Clip	stimulus.Clip	UIRT1CCHgVDfheNGYQd6																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
211.59441387112165	9.966472387313843	Clip	stimulus.Clip	Qtx9ZilPEN9mdem3G1lL																			2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized)	sports1m
221.6608983224156	9.966480016708374	Clip	stimulus.Clip	8PA1UPAZQPiLL4qyfbe0																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
231.72738182003522	9.966481447219849	Clip	stimulus.Clip	yCXacouyIMBJMNQBQeSe																			2009 Univest Grand Prix Road Race PA	sports1m
241.79386102612042	9.966490268707275	Clip	stimulus.Clip	cX1uqe3yuBtkCRNeZPSD																			lowpolyjungle_125-1-9-70-0_54.175.147.171	Rendered
251.86034595425153	9.966490507125883	Clip	stimulus.Clip	0JcYLY6eaQxNgD0AqyHf																			The Matrix Revolutions (2003)	Cinematic
261.92682992870834	9.966488361358643	Clip	stimulus.Clip	J4PH3ez0PBmcINVwekyF																			2011 KIA X-GAME Aggressive Inline VERT Final	sports1m
271.9933189099553	9.966487169265747	Clip	stimulus.Clip	n2kq4Nv6UNm4wJbdtuHM																			2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR	sports1m
282.0598050301793	9.966482400894165	Clip	stimulus.Clip	iYxs1vPwdSenUzRva/I3																			Mad Max: Fury Road (2015)	Cinematic
292.1096128171208	9.966496229171753	Clip	stimulus.Clip	N1Sn679rCW0XsG5S7c/C																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
302.17610680515793	9.96648359298706	Clip	stimulus.Clip	jlM0Ornu8Dw2nAXCwego																			mountainlake_047-1-0-70-0_54.89.40.102	Rendered
