onset	duration	nwb_table	stimulus_type	condition_hash	rng_seed	texture_height	texture_width	xnodes	ynodes	up_factor	temp_freq	temp_kernel_length	spatial_freq	blue_green_saturation	pattern_width	pattern_aspect	temp_kernel	temp_bandwidth	ori_coherence	ori_fraction	ori_mix	num_directions	movie_name	short_movie_name
223.2053339666354	14.983068227767944	Monet2	stimulus.Monet2	YLuStB2eXkgOS+Cescsy	9.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
238.27173592510098	14.983078002929688	Monet2	stimulus.Monet2	JbqTXa/nUmyDkiYdRpOR	9758.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
253.33814694347257	14.983078956604004	Monet2	stimulus.Monet2	GcdNGXFGUk3hsQcoTNg3	1545.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
268.40455891551846	14.983088970184326	Monet2	stimulus.Monet2	qseH2qyyh7OTWxM4dUHl	7418.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
283.4709749406802	9.966509342193604	Clip	stimulus.Clip	NWqTwzuwGakTM37kHKK4																			The Matrix Revolutions (2003)	Cinematic
293.5208161062228	9.966495990753174	Clip	stimulus.Clip	ik5DKO+EInbAGwcH0BfB																			2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race	sports1m
303.5873100942599	9.96651005744934	Clip	stimulus.Clip	dHvGJAD7cN8KboJxFF4/																			2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race	sports1m
313.63714291515225	9.966515302658081	Clip	stimulus.Clip	zlQ935qW1A8YOiseS7gY																			medievalsewer_132-1-6-70-0_54.210.37.143	Rendered
323.68698408069486	9.966493368148804	Clip	stimulus.Clip	XoerXglPXrngFUI5uTG6																			1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race	sports1m
333.7368180936801	9.966498374938965	Clip	stimulus.Clip	EKhyHmLj04EcBoR25T/e																			americandiner_079-1-5-70-0_184.73.123.94	Rendered
343.78664614620084	9.966503381729126	Clip	stimulus.Clip	XQScwyJu53SfmLd5lO8n																			lowpolyjungle_017-1-9-70-0_54.165.28.255	Rendered
353.83648492755765	9.966497421264648	Clip	stimulus.Clip	K+P79m2zZLQLffbJihvd																			The Matrix Revolutions (2003)	Cinematic
363.90298106136197	9.966508388519287	Clip	stimulus.Clip	idKqOhreEFb3Fw97JAw1																			mountainlake_103-1-0-70-0_54.210.37.143	Rendered
373.96948697032803	9.96649432182312	Clip	stimulus.Clip	bfUSk4KvUjS6Mqdh2KjQ																			1 of 2 - 2011 ICup Red Rock Desert Rampage XC Mountain Bike Race	sports1m
384.0359859651553	9.966501235961914	Clip	stimulus.Clip	R+f+dA2RnuPb19efyu6T																			2011 July 2 ICUP Dutch Hollow XC Mountain Bike Race	sports1m
394.10248090686673	9.966500282287598	Clip	stimulus.Clip	8auQK9CVxwyTj6Hg0bJ2																			lowpolyjungle_068-1-9-70-0_54.196.24.32	Rendered
404.1689880079257	9.966491460800171	Clip	stimulus.Clip	J4PH3ez0PBmcINVwekyF																			2011 KIA X-GAME Aggressive Inline VERT Final	sports1m
414.23548390331143	9.966491460800171	Clip	stimulus.Clip	n2kq4Nv6UNm4wJbdtuHM																			2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR	sports1m
424.30198099079007	9.966501474380493	Clip	stimulus.Clip	iYxs1vPwdSenUzRva/I3																			Mad Max: Fury Road (2015)	Cinematic
434.3684795087802	9.966502904891968	Clip	stimulus.Clip	N1Sn679rCW0XsG5S7c/C																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
